unit_id,parent_roi,hemisphere,eccentricity_band,num_voxels
V1_left_ecc0pt5,V1,left,ecc0pt5,42
V1_left_ecc1,V1,left,ecc1,99
V1_left_ecc2,V1,left,ecc2,169
V1_left_ecc4,V1,left,ecc4,143
V1_left_ecc4+,V1,left,ecc4+,231
V1_right_ecc0pt5,V1,right,ecc0pt5,86
V1_right_ecc1,V1,right,ecc1,79
V1_right_ecc2,V1,right,ecc2,151
V1_right_ecc4,V1,right,ecc4,151
V1_right_ecc4+,V1,right,ecc4+,195
V2_left_ecc0pt5,V2,left,ecc0pt5,126
V2_left_ecc1,V2,left,ecc1,67
V2_left_ecc2,V2,left,ecc2,97
V2_left_ecc4,V2,left,ecc4,126
V2_left_ecc4+,V2,left,ecc4+,237
V2_right_ecc0pt5,V2,right,ecc0pt5,132
V2_right_ecc1,V2,right,ecc1,71
V2_right_ecc2,V2,right,ecc2,143
V2_right_ecc4,V2,right,ecc4,142
V2_right_ecc4+,V2,right,ecc4+,288
V3_left_ecc0pt5,V3,left,ecc0pt5,107
V3_left_ecc1,V3,left,ecc1,55
V3_left_ecc2,V3,left,ecc2,86
V3_left_ecc4,V3,left,ecc4,77
V3_left_ecc4+,V3,left,ecc4+,293
V3_right_ecc0pt5,V3,right,ecc0pt5,71
V3_right_ecc1,V3,right,ecc1,50
V3_right_ecc2,V3,right,ecc2,86
V3_right_ecc4,V3,right,ecc4,101
V3_right_ecc4+,V3,right,ecc4+,256
hV4_left_ecc0pt5,hV4,left,ecc0pt5,107
hV4_left_ecc1,hV4,left,ecc1,38
hV4_left_ecc2,hV4,left,ecc2,82
hV4_left_ecc4,hV4,left,ecc4,48
hV4_left_ecc4+,hV4,left,ecc4+,69
hV4_right_ecc0pt5,hV4,right,ecc0pt5,1
hV4_right_ecc1,hV4,right,ecc1,39
hV4_right_ecc2,hV4,right,ecc2,149
hV4_right_ecc4,hV4,right,ecc4,81
hV4_right_ecc4+,hV4,right,ecc4+,70
