mapping_id,quality_policy,feature_set,K_retino,K_total,retained_voxels,min_voxels_per_unit,p05_voxels_per_unit,median_voxels_per_unit,mean_voxels_per_unit,p95_voxels_per_unit,max_voxels_per_unit,mean_spatial_compactness,mean_affinity_entropy,mean_offdiag_affinity_cos,max_offdiag_affinity_cos,affinity_effective_rank,cluster_stability,patch_coverage_score,max_voxel_quality_contribution,status
quality_r2_gt0_xy_k32,r2_gt0,xy,32,36,4473,5,35.05,101.0,139.78125,337.4,369,3.5350559975151783,3.4273426623383885,0.09067344186410645,0.9369860150706754,24.679269737524983,0.8070906493761718,0.34375,0.44626945503612425,VIABLE
quality_r2_gt0_xy_k48,r2_gt0,xy,48,52,4473,1,8.4,73.0,93.1875,240.0,360,2.9488685790222378,3.1433094218434796,0.07366811811792452,0.9201806753848819,36.17764731738225,0.756234842236881,0.47265625,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_k64,r2_gt0,xy,64,68,4473,1,5.15,54.0,69.890625,205.74999999999991,218,2.0618575822816374,2.9168655978894265,0.06026321043712876,0.9917541226330996,45.49704471310396,0.7679415317893703,0.53515625,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_k96,r2_gt0,xy,96,100,4473,1,4.0,33.5,46.59375,154.75,202,1.4464726873144222,2.6372487435039673,0.04781820977830924,0.9813101217310918,63.69373499195452,0.764736229132689,0.6953125,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_k128,r2_gt0,xy,128,132,4473,1,4.0,25.5,34.9453125,97.59999999999997,164,1.131520310439835,2.512337041767872,0.042362848551040264,0.9913355299205069,78.58468506684335,0.7409968767514657,0.7734375,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_logsigma_k32,r2_gt0,xy_logsigma,32,36,4473,34,54.1,118.5,139.78125,286.95,314,4.609931126667828,3.3875660818966136,0.12995179316268074,0.8986224437543088,23.918186647424566,0.7560871197781517,0.33203125,0.05892323750678428,VIABLE
quality_r2_gt0_xy_logsigma_k48,r2_gt0,xy_logsigma,48,52,4473,1,20.45,77.0,93.1875,213.54999999999998,265,3.5429365531888592,3.1130632278778343,0.10103984811467483,0.9271600734427671,34.16238015165363,0.6557156335425229,0.4375,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_logsigma_k64,r2_gt0,xy_logsigma,64,68,4473,1,17.450000000000003,50.5,69.890625,173.79999999999995,206,2.7505508541526194,2.844894427370814,0.08278411299568712,0.9491950612700656,42.54562587670659,0.6981082076427344,0.51953125,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_logsigma_k96,r2_gt0,xy_logsigma,96,100,4473,1,5.0,36.0,46.59375,115.25,193,2.0392885086184482,2.658919362557393,0.06517951007088536,0.9723007858059479,61.78724267858273,0.7001660077496228,0.6484375,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_gt0_xy_logsigma_k128,r2_gt0,xy_logsigma,128,132,4473,1,5.0,25.0,34.9453125,87.0,115,1.5524510863184384,2.49998049318617,0.05856574045023039,0.9733105409723078,74.0993852291953,0.7019976892830109,0.70703125,1.0,REJECT_TOO_FEW_VOXELS_PER_UNIT
quality_r2_ge10p1_xy_k32,r2_ge10p1,xy,32,36,3956,32,38.85,92.0,123.625,303.84999999999997,319,2.6394862396702434,3.4538762234596128,0.09050795038830649,0.930865866219462,25.25692705413311,0.8573004516531251,0.359375,0.05582009762748177,VIABLE
quality_r2_ge10p1_xy_k48,r2_ge10p1,xy,48,52,3956,15,22.1,64.5,82.41666666666667,189.0,209,1.777407934500604,3.117375010797146,0.06406995581590215,0.9895395659466447,36.20408831177648,0.78141629743737,0.48046875,0.10008099028501372,VIABLE
quality_r2_ge10p1_xy_k64,r2_ge10p1,xy,64,68,3956,12,17.450000000000003,46.0,61.8125,167.74999999999991,196,1.406066889199367,2.949457647081318,0.05366207157467977,0.9715812926464976,46.773763625240356,0.7489773223116386,0.5859375,0.13060038345512442,VIABLE
