unit_id,unit_type,parent_roi,hemisphere,num_voxels,mean_x,mean_y,median_x,median_y,prf_center_x,prf_center_y,mean_eccentricity,eccentricity,polar_angle,mean_sigma,median_sigma,gaussian_sigma,mean_r2,median_r2,within_unit_spatial_variance,rms_radius,within_unit_sigma_variance,max_quality_weight_contribution,dominant_patch,top5_patches,top10_cumulative_mass,affinity_entropy,effective_patch_count,affinity_center_of_mass_x,affinity_center_of_mass_y,affinity_spatial_variance,token_index
V1_left_u000,retinotopic,V1,left,249,0.8384174030090881,-0.19585278494859557,0.733616292476654,-0.023554382845759392,0.8384174030090881,-0.19585278494859557,1.1906742818848077,0.8609889982111412,346.851587097452,0.13548997687138467,0.11400056630373001,0.13548997687138467,49.940189258161794,51.59611511230469,1.1867988801382523,1.0894029925322641,0.011118814795769968,0.006665444251553442,136,"[136, 123, 122, 152, 121]",0.5823872982666783,3.4174306164502806,30.4909712881444,0.9935379992561983,-0.18492026698482103,1.313122506105259,0
V1_left_u001,retinotopic,V1,left,107,1.1562124499715127,2.276809612306479,1.1855453252792358,1.975935935974121,1.1562124499715127,2.276809612306479,2.761538281618992,2.5535640270336493,63.077568899991455,0.39938627587300596,0.28296542167663574,0.39938627587300596,58.28634111457896,63.20375061035156,2.374382806956059,1.5409032438657722,0.15255746386945537,0.013575127409018752,91,"[91, 40, 73, 11, 41]",0.4470406281357401,3.829711718236512,46.04926115832297,1.1931708030701829,2.2330153736654053,2.184847704923802,1
V1_left_u002,retinotopic,V1,left,88,2.484947521281852,0.8747520598080882,3.0168732404708862,0.8882895410060883,2.484947521281852,0.8747520598080882,3.1506154964762656,2.634417459261784,19.39310518581384,0.017824562327322466,0.0135233118198812,0.017824562327322466,48.68478040261702,50.96498107910156,5.212335295848838,2.283053940634964,0.00020284600874438674,0.01900502417817752,79,"[79, 95, 11, 191, 175]",0.6485807674577811,3.0900888424866086,21.979030560754147,2.7907648583817553,0.9352832570420532,4.788843388522922,2
V1_left_u003,retinotopic,V1,left,112,3.7716169314725057,-0.03208078454164414,3.679686665534973,-0.03607296198606491,3.7716169314725057,-0.03208078454164414,3.9415428659745624,3.7717533660761657,359.5126628009377,0.40337187836744953,0.2582383304834366,0.40337187836744953,66.22585415840149,70.07285690307617,2.1874971367723233,1.479018977826966,0.19614680988267055,0.011677754164061202,127,"[127, 143, 142, 125, 191]",0.5772847834224017,3.5140015011434897,33.58237921029364,3.369517409613103,-0.02791111979266374,1.9242342437239817,3
V1_left_u004,retinotopic,V1,left,69,2.0705369138631267,-4.084012378817019,2.2013096809387207,-3.812088966369629,2.0705369138631267,-4.084012378817019,4.734339358150095,4.57889508746384,296.8843681330586,0.6308540327177532,0.49304622411727905,0.6308540327177532,52.57768984808438,53.88481140136719,3.8316373679442197,1.9574568623456865,0.22719929391382987,0.02044788687298027,252,"[252, 251, 248, 249, 253]",0.49340723750989834,3.683052312896263,39.76759214561502,1.9090243522822523,-3.2235855442104557,2.086924056523518,4
V1_right_u000,retinotopic,V1,right,110,-0.5918065816672011,0.15612214184366166,-0.24460943043231964,0.03915280569344759,-0.5918065816672011,0.15612214184366166,1.0502514211291616,0.6120532274879938,165.22171270622553,0.0324521727563644,0.02984046097844839,0.0324521727563644,32.16682037006725,29.889613151550293,2.5678345500550583,1.6024464265787666,0.0005536667992674988,0.021387996526064698,119,"[119, 135, 151, 136, 118]",0.8589870229294202,2.587801863579985,13.30050312660145,-0.7531740730353975,0.20212229305278256,3.382824333481714,5
V1_right_u001,retinotopic,V1,right,199,-1.4302640432606997,0.77371991598808,-1.406141996383667,0.5110001564025879,-1.4302640432606997,0.77371991598808,1.9549091588237777,1.6261296817416027,151.58825228716208,0.24681061637311724,0.21581555902957916,0.24681061637311724,49.183402344210066,52.77184295654297,2.6651433228583086,1.632526668345209,0.042077269808387704,0.007897455821282017,148,"[148, 132, 103, 133, 87]",0.48932755664850125,3.7422572608735503,42.19312364119436,-1.5109392266989508,0.7839954522650824,2.6134106838375164,6
V1_right_u002,retinotopic,V1,right,118,-0.65712709964354,-2.5170975069878465,-0.6244492530822754,-1.9549221396446228,-0.65712709964354,-2.5170975069878465,2.7399675952175917,2.6014603369589095,255.36862025740078,0.47903288199992505,0.26250889897346497,0.47903288199992505,42.88255681829938,43.81307411193848,3.334212059380879,1.8259824915318543,0.22863123455702136,0.01585957739327063,247,"[247, 248, 151, 165, 231]",0.43372160931441117,3.84109511522199,46.57645310371916,-0.6114607041834833,-2.3317650145567317,2.318670605123322,7
V1_right_u003,retinotopic,V1,right,132,-3.310807300336433,-1.4637372888455287,-3.1530299186706543,-1.3902940154075623,-3.310807300336433,-1.4637372888455287,3.837746155984474,3.6199408601133083,203.8506469863052,0.3052987693703141,0.23989881575107574,0.3052987693703141,57.15495196978251,62.08913803100586,2.4798361325969025,1.5747495459903782,0.11662268642339206,0.010373912606094576,176,"[176, 163, 128, 162, 147]",0.5107876559666158,3.573480171679564,35.640412324287794,-3.147440525788759,-1.2843208509546393,2.197460252523803,8
V2_left_u000,retinotopic,V2,left,284,0.7674643417675225,0.38627021454281213,0.6432701051235199,0.17053236812353134,0.7674643417675225,0.38627021454281213,1.3728340643746648,0.8591892658358848,26.716434619618195,0.18401502050511853,0.1324387863278389,0.18401502050511853,54.296378971825185,59.01750183105469,1.9998005764181748,1.4141430537318969,0.021753486386168135,0.005629291542126673,120,"[120, 137, 138, 136, 105]",0.4896516906401493,3.7198088973687167,41.25650912776262,0.8742126634277066,0.4602414174895533,2.1411392002771414,9
