unit_id,unit_type,parent_roi,hemisphere,num_voxels,mean_x,mean_y,median_x,median_y,prf_center_x,prf_center_y,mean_eccentricity,eccentricity,polar_angle,mean_sigma,median_sigma,gaussian_sigma,mean_r2,median_r2,within_unit_spatial_variance,rms_radius,within_unit_sigma_variance,max_quality_weight_contribution,dominant_patch,top5_patches,top10_cumulative_mass,affinity_entropy,effective_patch_count,affinity_center_of_mass_x,affinity_center_of_mass_y,affinity_spatial_variance,token_index
V1_left_u000,retinotopic,V1,left,162,0.5084700406856697,0.08770128046909784,0.4563525915145874,0.04063454829156399,0.5084700406856697,0.08770128046909784,0.7969575521685643,0.515978000374828,9.786131111185766,0.0884676288905335,0.07431668043136597,0.0884676288905335,41.068828032340534,45.772064208984375,0.5843295750457622,0.7644145308965301,0.00212816012965747,0.01114828574397026,136,"[136, 152, 121, 120, 137]",0.7690359861819278,2.8155688601246274,16.702674563869582,0.6466739921560245,0.1048776734160582,0.6959245733908508,0
V1_left_u001,retinotopic,V1,left,39,0.6250271351578144,-0.8116168236279359,0.37865591049194336,-0.03476807475090027,0.6250271351578144,-0.8116168236279359,1.4413937754355943,1.024392887558033,307.59991308946275,0.010247043662298566,0.006988597102463245,0.010247043662298566,27.029457709728142,27.47768783569336,3.5904656594089546,1.8948524109832288,5.568906029229666e-05,0.06517243412913189,120,"[120, 121, 221, 137, 119]",0.9147383924634638,2.3243216324417193,10.21974499032972,0.827793536933042,-0.440755567863106,2.3518688669567567,1
V1_left_u002,retinotopic,V1,left,78,1.0920199708869824,-1.6501070452161515,1.0184000730514526,-1.7319676280021667,1.0920199708869824,-1.6501070452161515,2.1130229848890734,1.9787270851453933,303.4960869941268,0.37727811235265857,0.2781068980693817,0.37727811235265857,51.255331559058945,55.1251277923584,1.3653172143336838,1.1684678918710962,0.05585958378088544,0.01982940452921308,185,"[185, 188, 201, 169, 186]",0.4969389859816197,3.679326953611057,39.619719187931786,1.1505562343435438,-1.7313745919511918,1.4526202494370322,2
V1_left_u003,retinotopic,V1,left,115,1.9978915655094645,0.5309685356267121,1.8729994297027588,0.44394728541374207,1.9978915655094645,0.5309685356267121,2.1993486943452254,2.0672441300822295,14.883144586555087,0.20425042759465134,0.12783734500408173,0.20425042759465134,65.7767600308294,72.28795623779297,1.0075794565060867,1.0037825743188047,0.020751773511719807,0.011075894529051528,123,"[123, 122, 91, 106, 124]",0.648113453845236,3.2043026944235358,24.638313591595594,2.0627381662889395,0.5138094268981996,1.125562252063251,3
V1_left_u004,retinotopic,V1,left,72,0.8701040826419617,2.95211044119464,0.780128002166748,2.837126135826111,0.8701040826419617,2.95211044119464,3.130328198273977,3.0776674888039195,73.57766297200354,0.43347162942195105,0.2640175521373749,0.43347162942195105,54.86123608218299,59.3531608581543,1.733457703826688,1.316608409447049,0.2021976301904657,0.021433663132435363,40,"[40, 11, 41, 42, 73]",0.6005355520166921,3.4195408679571146,30.555382844639198,0.8565748515671916,2.8719077618083393,1.4418283752311565,4
V1_left_u005,retinotopic,V1,left,69,3.326144736746083,1.2209180180566297,3.8016602993011475,1.5745742321014404,3.326144736746083,1.2209180180566297,4.028019027433533,3.543145441073369,20.15652060871869,0.023089548491913338,0.01610429771244526,0.023089548491913338,51.37171795057214,54.632545471191406,3.9059780714485632,1.9763547433212902,0.00022458772094636567,0.022970536242379738,79,"[79, 95, 11, 191, 175]",0.7864912811815588,2.633036153034802,13.915956801255948,3.3705090542817966,1.1420942057316203,3.7060562959587955,5
V1_left_u006,retinotopic,V1,left,79,4.168879593474956,0.044400573245771346,4.2225751876831055,-0.08023186773061752,4.168879593474956,0.044400573245771346,4.361844295187842,4.169116030502925,0.6102045441198088,0.5182451985870735,0.32415029406547546,0.5182451985870735,62.80533320390725,67.28318786621094,2.2658846389401432,1.5052855672396992,0.29323105212527645,0.017457469989348183,143,"[143, 127, 191, 142, 159]",0.7175484210068552,3.293345653913848,26.93282098688537,3.6079624606134915,0.0109826446333856,2.0445626613962364,6
V1_left_u007,retinotopic,V1,left,53,2.4910474691617646,-4.831235035410467,2.75821852684021,-4.933745861053467,2.4910474691617646,-4.831235035410467,5.640224893138094,5.435636987602723,297.27621910132757,0.6298061889719289,0.464641809463501,0.6298061889719289,46.86755285173092,52.474449157714844,3.55869635873699,1.8864507305352531,0.2782023733627628,0.028505050730283563,252,"[252, 251, 248, 249, 253]",0.724749630448592,3.1150970622758236,22.535617605674986,2.145924815089178,-3.6092808439388566,1.909556620487539,7
V1_left_u008,retinotopic,V1,left,5,-4.419604301452637,4.4987099170684814,-5.283690929412842,5.48366641998291,-4.419604301452637,4.4987099170684814,6.48031587600708,6.306448532997709,134.49179868088368,0.3607333406805992,0.25398874282836914,0.3607333406805992,2.353544235229492,1.537632942199707,4.567051101929588,2.137066003175753,0.05903380195783704,0.44626945503612425,48,"[48, 0, 3, 64, 34]",0.9979523948945825,1.7497181697388655,5.752981083348502,-3.6185855857983884,3.0867427157457468,1.0132860468082407,8
V1_right_u000,retinotopic,V1,right,70,-0.09762010239064693,-0.15020085004341258,-0.16736190766096115,0.001973703852854669,-0.09762010239064693,-0.15020085004341258,0.4875234454071948,0.17913676268294038,236.9789348678014,0.01811457341869495,0.014190361835062504,0.01811457341869495,21.822505715915135,20.939502716064453,0.7411445319463014,0.860897515356097,0.000147638560812666,0.035288805404388696,119,"[119, 135, 136, 120, 118]",0.9999999213823105,1.6699847162735555,5.312086608082165,-0.18213862956510207,-0.01813113716162452,0.26101220730365843,9
V1_right_u001,retinotopic,V1,right,167,-0.6059817298402428,0.3345402896175618,-0.5559878349304199,0.2941647171974182,-0.6059817298402428,0.3345402896175618,1.0394098876925286,0.6921929371768937,151.09852150164937,0.12865826170779987,0.12187082320451736,0.12865826170779987,38.36580484213229,41.59628677368164,0.9766268781062037,0.9882443412973351,0.004553639680191773,0.011713450661423309,103,"[103, 151, 118, 87, 133]",0.6429600010346563,3.139698970568393,23.096912961530148,-0.6746183332960016,0.3765045429072945,1.0958142847505505,10
V1_right_u002,retinotopic,V1,right,144,-1.27047530484973,-1.1206300085515548,-1.4700542092323303,-1.1189470291137695,-1.27047530484973,-1.1206300085515548,1.959806355337302,1.6940835623720785,221.41408921931438,0.45341868414026165,0.2592318207025528,0.45341868414026165,45.3121136062675,47.80081748962402,1.2520440454759947,1.1189477402792298,0.164160142368571,0.011586040039373382,148,"[148, 132, 164, 147, 163]",0.5689343364649267,3.5663285680723313,35.38643547629604,-1.428247496016552,-1.1399942819712718,1.6042945916414366,11
