unit_id,ROI,hemisphere,mean_x,mean_y,ecc,sigma,mean_R2,voxels,local_cos,local_mse,localization_r1,localization_r5,localization_mrr,sample_r1,sample_r5,sample_mrr,locality_gap
V1_left_u000,V1,left,0.4239588753800959,-0.17445561120985076,0.6657114062458277,0.11224020593198797,39.309649947381786,155,0.5202479958534241,0.15891677141189575,0.02,0.08666666666666667,0.07543489827704794,0.006666666666666667,0.03,0.029927963475344974,-0.1448037028312683
V1_left_u001,V1,left,1.6706711236421052,0.5624511099445659,1.8499520372700047,0.18992340805529206,63.86114286302446,111,0.5591214895248413,0.1475961059331894,0.006666666666666667,0.06333333333333334,0.061152972462373965,0.01,0.03,0.033264878847584264,-0.15447883307933807
V1_left_u002,V1,left,0.5021996440010547,1.885696730128041,1.9894016627912168,0.2591422176402476,51.96803670459323,54,0.6140453219413757,0.1398916095495224,0.03333333333333333,0.17,0.1164083345694579,0.006666666666666667,0.04,0.03382839401284529,-0.12731331586837769
V1_left_u003,V1,left,1.217417696416378,-2.1237831819057464,2.523110640048981,0.36548877161927523,56.317738151550294,50,0.6352442502975464,0.12039335817098618,0.056666666666666664,0.21666666666666667,0.1575778963034472,0.01,0.05,0.03770775981815371,-0.09692415595054626
V1_left_u004,V1,left,3.0383826111044203,-0.20696251162995136,3.1059283784457614,0.2851355148096835,70.25635170936584,56,0.5941246747970581,0.16251319646835327,0.03666666666666667,0.09666666666666666,0.09470205707346288,0.01,0.03666666666666667,0.03517674720042211,-0.14655207097530365
V1_left_u005,V1,left,1.3248585116287523,3.818005708130923,4.112915515899658,0.41750708902889694,57.79808280684731,44,0.668053150177002,0.14395548403263092,0.023333333333333334,0.19333333333333333,0.13121922489673646,0.013333333333333334,0.023333333333333334,0.03229392713535887,-0.06965561956167221
V1_left_u006,V1,left,3.7810356409653374,1.8874489768691685,4.281675297281017,0.20489296381888183,61.171027183532715,46,0.6045212149620056,0.201289564371109,0.016666666666666666,0.08,0.07527467150542308,0.013333333333333334,0.03333333333333333,0.03467465912135165,-0.13778656721115112
V1_left_u007,V1,left,3.6836131186712358,-2.5017961802936735,4.541570595332554,0.27732503084865,53.24787787028721,42,0.6148316264152527,0.15025058388710022,0.023333333333333334,0.05,0.0751496900562128,0.006666666666666667,0.02666666666666667,0.027864567643991832,-0.13288173079490662
V1_left_u008,V1,left,4.655438852310181,-0.17416556419588491,4.701478024891444,0.4604617081848638,58.90195050920759,35,0.5730474591255188,0.18729090690612793,0.016666666666666666,0.04,0.0610375648398354,0.013333333333333334,0.02666666666666667,0.03366061782654254,-0.16405464708805084
V1_left_u009,V1,left,1.7897954285144806,-5.520128831267357,5.8772086054086685,0.7647762239794247,50.25316712260246,32,0.660017728805542,0.12640345096588135,0.03666666666666667,0.23,0.139509055387628,0.006666666666666667,0.02666666666666667,0.028400082849277065,-0.08736081421375275
V1_right_u000,V1,right,-0.3168950729039399,0.19269293830004314,0.6490916708460102,0.12060638974033683,33.42965958954452,154,0.5245695114135742,0.15628008544445038,0.0033333333333333335,0.03666666666666667,0.049067969607192424,0.0033333333333333335,0.016666666666666666,0.025065291581843674,-0.16248822212219238
V1_right_u001,V1,right,-0.3757270960558876,-1.637372104507504,1.7700872565760757,0.43155157949888345,38.4393817728216,66,0.6158055067062378,0.11934669315814972,0.06,0.21,0.14803718612761343,0.006666666666666667,0.03666666666666667,0.030718308319944397,-0.1053185760974884
V1_right_u002,V1,right,-1.721772711488265,-0.038388772646279094,1.818220823625975,0.28086326342028906,52.7352299871324,79,0.5755103826522827,0.1347142606973648,0.02,0.08333333333333333,0.08180591101986055,0.01,0.03,0.031354061749265534,-0.14212475717067719
V1_right_u003,V1,right,-2.264206539643438,-1.2945361133762794,2.675206193798467,0.3091816579628932,58.808548500663356,76,0.605410635471344,0.13102394342422485,0.03,0.12,0.10482415671185236,0.0033333333333333335,0.02,0.024409207993033255,-0.12448650598526001
V1_right_u004,V1,right,-1.3856632061302663,2.486203193664551,2.898894506692886,0.2340863219113089,53.13295233249664,40,0.6469038128852844,0.11770843714475632,0.02666666666666667,0.16,0.12218816637823883,0.0033333333333333335,0.03,0.028121875955075808,-0.10625104606151581
V1_right_u005,V1,right,-4.002029527788577,-0.8697085772519526,4.169914924580118,0.34081945596667734,60.8337110851122,46,0.6189532279968262,0.1432134509086609,0.0,0.07666666666666666,0.06681642078207266,0.006666666666666667,0.03,0.031067543391728427,-0.12588852643966675
V1_right_u006,V1,right,-3.576620666186015,2.5813695271809896,4.497878567377726,0.24891732425118487,52.422839069366454,30,0.6431950926780701,0.15760789811611176,0.006666666666666667,0.09333333333333334,0.08426616744573119,0.0033333333333333335,0.03,0.02833750514614542,-0.1007564440369606
V1_right_u007,V1,right,-0.5100042034279216,-4.4762458078788985,4.566029151280721,0.3077502272120028,51.25651694789077,33,0.6397839784622192,0.1339106261730194,0.03333333333333333,0.17333333333333334,0.12637211482196228,0.006666666666666667,0.03666666666666667,0.03394791332880178,-0.10507547855377197
V1_right_u008,V1,right,-3.398303256716047,-3.6698380674634663,5.066430568695068,0.40297577530145645,40.62640023912702,35,0.630307137966156,0.1583450585603714,0.023333333333333334,0.1,0.09434237552266202,0.013333333333333334,0.02666666666666667,0.03337391631601474,-0.11966165900230408
V2_left_u000,V2,left,0.37780296901268334,0.03572648673109464,0.5813239063355414,0.1166771949707147,42.92456350887523,170,0.509638786315918,0.16410614550113678,0.0033333333333333335,0.04,0.04999390720324012,0.0,0.04666666666666667,0.03672119360836927,-0.15585532784461975
V2_left_u001,V2,left,1.8035060751671885,0.7146594375737158,2.0473596418605133,0.24761240980496593,66.78071951398663,102,0.594747006893158,0.1261032223701477,0.016666666666666666,0.09666666666666666,0.08454011478760863,0.0033333333333333335,0.02666666666666667,0.030046684964166643,-0.13282687962055206
V2_left_u002,V2,left,1.239964684323659,-1.8630914489428203,2.33002031227899,0.4416257141837998,62.55006348140656,63,0.6396040916442871,0.11117704957723618,0.03,0.28,0.1535610282107521,0.006666666666666667,0.04666666666666667,0.03624143502323786,-0.09294845908880234
V2_left_u003,V2,left,0.48419606642044605,2.573078528363654,2.6588792445811817,0.25816099070250353,62.55694186433833,47,0.6464924216270447,0.12329909950494766,0.05333333333333334,0.19333333333333333,0.14172815702453492,0.006666666666666667,0.02,0.026645526719442623,-0.10262259095907211
V2_left_u004,V2,left,2.3820343987886297,3.4751118393831475,4.29222884289054,0.1673780130980493,56.573666284250656,43,0.6301831007003784,0.32235482335090637,0.03333333333333333,0.14666666666666667,0.11195486817213088,0.0033333333333333335,0.016666666666666666,0.02409815826540583,-0.09279828518629074
V2_left_u005,V2,left,4.045973371452009,-1.5286997413971055,4.454534772416236,0.38195760398578477,60.35061262694882,71,0.6355791091918945,0.1294352263212204,0.023333333333333334,0.11,0.10169689213783178,0.01,0.023333333333333334,0.03396673016293818,-0.11169133335351944
V2_left_u006,V2,left,1.8385461904108524,-4.770988489900317,5.20181713785444,0.5903824324320469,49.94992079053606,28,0.660767674446106,0.12873110175132751,0.043333333333333335,0.20333333333333334,0.14404687280442544,0.01,0.03,0.03216922753446671,-0.08658234775066376
V2_left_u007,V2,left,5.1126227378845215,3.138430207967758,6.125126814842224,0.616319363284856,24.464521217346192,20,0.638263463973999,0.14850157499313354,0.016666666666666666,0.1,0.08742223136624022,0.01,0.02666666666666667,0.0313137309400607,-0.09892040491104126
V2_left_u008,V2,left,4.971006472905477,-6.226994335651398,8.254204829533895,1.2602408627669017,36.30852858225504,12,0.6401823163032532,0.14043959975242615,0.02,0.08333333333333333,0.09213562621274901,0.0033333333333333335,0.016666666666666666,0.022754341650124518,-0.10350894927978516
V2_right_u000,V2,right,-0.280139830723709,0.42749746541993755,0.690539404217686,0.10623369532713324,41.35803302453489,196,0.5178110599517822,0.1632230430841446,0.01,0.05,0.05780161742234736,0.013333333333333334,0.04666666666666667,0.04061679265307868,-0.15391795337200165
V2_right_u001,V2,right,-0.016187670722342375,-1.3583543452254512,1.4651598668935006,0.32396727315101187,35.40240558825041,57,0.59647136926651,0.135841503739357,0.03333333333333333,0.16,0.11788225855242274,0.01,0.03333333333333333,0.035537261688685526,-0.11616528779268265
V2_right_u002,V2,right,-1.4082855287562595,0.8716812390373664,1.7804567090580972,0.20098035395919775,69.63335206535425,89,0.5803980231285095,0.1256946623325348,0.02666666666666667,0.09,0.08656491533138892,0.006666666666666667,0.03333333333333333,0.031220309693049987,-0.1355976164340973
V2_right_u003,V2,right,-1.5892933799670292,-3.08322536945343,3.5272335566007174,0.2660612798940677,51.69031433692345,65,0.6485875248908997,0.11560173332691193,0.04666666666666667,0.19333333333333333,0.14739730949334065,0.0,0.03,0.027947555992079327,-0.09830254316329956
V2_right_u004,V2,right,-3.5500088263366183,1.5384966767061565,3.9360045336060603,0.2840409227252259,61.482691506208,59,0.641262948513031,0.1342891901731491,0.01,0.11,0.08857539407949715,0.006666666666666667,0.023333333333333334,0.03141792500346086,-0.10780654847621918
V2_right_u005,V2,right,-3.376066442193656,-1.9104465693235397,3.969674114523263,0.26997453492166923,49.82996994873573,58,0.6556063294410706,0.11572494357824326,0.06,0.21333333333333335,0.1512868407739776,0.006666666666666667,0.03333333333333333,0.031403632592188216,-0.09511741995811462
V2_right_u006,V2,right,-0.8663004160028052,4.190459657359767,4.425960147703016,0.38165839602919044,41.74959089949324,37,0.6859238743782043,0.12042956054210663,0.06666666666666667,0.26666666666666666,0.1821626107601728,0.006666666666666667,0.03,0.029508742207484673,-0.05153491348028183
V2_right_u007,V2,right,0.057244892697781324,-4.571021982601711,4.637698079858508,0.47419002146593164,52.38672937665667,28,0.5986956357955933,0.168437197804451,0.013333333333333334,0.09,0.07508070227641599,0.006666666666666667,0.02,0.027577637699394218,-0.14152604341506958
V2_right_u008,V2,right,-5.965214404192838,1.5857468360613067,6.332280787554654,0.8848966163667765,47.64868380806663,22,0.6696106195449829,0.11551591008901596,0.043333333333333335,0.18,0.14046958983429494,0.0033333333333333335,0.03,0.030269971312641152,-0.07562356442213058
V2_right_u009,V2,right,-4.405720215577346,4.654996156692505,6.435198252017681,1.1984985310297747,47.68580539409931,26,0.6789970993995667,0.1189560666680336,0.03333333333333333,0.21666666666666667,0.1457990351448301,0.013333333333333334,0.023333333333333334,0.032006001398249315,-0.05523006618022919
V3_left_u000,V3,left,0.40510281749712623,0.07853046068075029,0.6326955575707622,0.12010042142091235,52.97430967742746,176,0.5086497068405151,0.1710183173418045,0.0033333333333333335,0.04,0.05431101522566112,0.013333333333333334,0.06666666666666667,0.05170989875391418,-0.14670050144195557
V3_left_u001,V3,left,1.8217959980810843,0.6454063283594986,2.037625907569803,0.31480694474071585,71.21875024610951,93,0.6044279932975769,0.12339093536138535,0.02,0.12333333333333334,0.10313295081679637,0.016666666666666666,0.043333333333333335,0.04671030624616153,-0.1252615600824356
V3_left_u002,V3,left,1.3370569819534146,-1.666622650784415,2.2206176438847103,0.5286443429822857,63.09360377852981,74,0.6498879790306091,0.10405124723911285,0.06666666666666667,0.3,0.18405741391755218,0.013333333333333334,0.056666666666666664,0.049549750876323344,-0.08421625941991806
V3_left_u003,V3,left,4.016566236813863,-0.8841004432884582,4.212184523091172,0.35004136120110296,63.07316225225275,66,0.6270942091941833,0.1387881338596344,0.023333333333333334,0.11,0.09943132708082231,0.016666666666666666,0.043333333333333335,0.043705332335485944,-0.11602171510457993
V3_left_u004,V3,left,1.7301507247818841,3.921239307191637,4.382576274871826,0.41214066886653505,53.17478773328993,45,0.6946841478347778,0.13086791336536407,0.05333333333333334,0.31,0.18986217796345606,0.013333333333333334,0.03666666666666667,0.03621613079493772,-0.043307121843099594
V3_left_u005,V3,left,2.835542593044894,-4.207677548272269,5.175810977390834,0.5199608249855893,48.5808940070016,35,0.662600576877594,0.13035956025123596,0.056666666666666664,0.21666666666666667,0.15764183399219442,0.013333333333333334,0.03,0.03649255107318522,-0.09025750309228897
V3_left_u006,V3,left,4.800327903694576,2.6911490485072136,5.638067258728875,0.657182889783548,39.65058411492242,36,0.6572682857513428,0.1370653212070465,0.02,0.15,0.11315330087103166,0.01,0.02666666666666667,0.03033115144717881,-0.08727721869945526
V3_left_u007,V3,left,5.3337982944820235,-3.5584110695382822,6.53321303492007,0.9911680681549985,44.693158439967945,23,0.6392712593078613,0.1349518895149231,0.023333333333333334,0.1,0.09677715529321049,0.006666666666666667,0.04666666666666667,0.03554541414309565,-0.11185338348150253
V3_right_u000,V3,right,-0.4445059751481179,-0.08836905833105652,0.8888926251164201,0.17739684501786393,49.48157322650053,196,0.5668575167655945,0.12270571291446686,0.016666666666666666,0.10666666666666667,0.08729544732043057,0.006666666666666667,0.06666666666666667,0.04687835404612285,-0.11245961487293243
V3_right_u001,V3,right,-2.1425869497534347,-1.0253227614695588,2.4869376225014257,0.3759146110243993,66.13886882834238,73,0.6282864809036255,0.11007841676473618,0.06,0.23666666666666666,0.16126108590484894,0.006666666666666667,0.04,0.03574559955093752,-0.09865852445363998
V3_right_u002,V3,right,-1.9486953100642643,2.721672219199103,3.412605098775915,0.5419923448683442,59.59395777212607,37,0.682338535785675,0.10195267200469971,0.07,0.30666666666666664,0.19605580747988738,0.013333333333333334,0.023333333333333334,0.035071597029440474,-0.07377015054225922
V3_right_u003,V3,right,-3.683006147543589,0.6425446528527472,3.8237471183141074,0.6103660407631347,54.540400399102104,36,0.6535764336585999,0.10978059470653534,0.016666666666666666,0.15,0.11725292281278851,0.006666666666666667,0.04,0.03406068329605623,-0.0991915687918663
V3_right_u004,V3,right,-1.0949922312508549,-4.356908308832269,4.545284246143542,0.49708296013832615,50.20550205833033,57,0.6699501276016235,0.10962023586034775,0.11,0.30666666666666664,0.21689595028177489,0.016666666666666666,0.043333333333333335,0.04338794036914447,-0.08122880756855011
V3_right_u005,V3,right,-3.671018213033676,-2.660456505417824,4.635410022735596,0.3842089283047244,49.154740834236144,40,0.6647956967353821,0.1218668594956398,0.043333333333333335,0.20666666666666667,0.14294831849528308,0.013333333333333334,0.03,0.03577001329115731,-0.0898638665676117
V3_right_u006,V3,right,-6.432072246775908,-0.8029199158267789,6.600969987757066,0.9865323410314673,33.90598813225241,17,0.6655636429786682,0.10974153876304626,0.03666666666666667,0.23,0.14605041679977085,0.01,0.03,0.032083180653109694,-0.08915809541940689
