variant,alpha,CIDEr,BLEU-4,ROUGE-L
lora,0,0.6064128805899661,0.19028850855317814,0.43617266481957284
lora,0.25,0.6013814073930609,0.18915615930465274,0.4343265127382585
lora,0.5,0.5993573809679517,0.18714315502655687,0.43431022047198614
lora,0.75,0.5910518502927498,0.18481038867524455,0.43261618833429977
lora,1,0.5816784891303525,0.1833407157444846,0.43412488082070305
full_real,0,0.6064128805899661,0.19028850855317814,0.43617266481957284
full_real,0.25,0.6108679465739338,0.19100336225653905,0.4358595350052822
full_real,0.5,0.5979570326536433,0.18676278628520307,0.43468453076026914
full_real,0.75,0.586502329950856,0.18185876561388958,0.4333071446284655
full_real,1,0.5909716376180367,0.18183095227197188,0.4349953753934815
full_random,0,0.6064128805899661,0.19028850855317814,0.43617266481957284
full_random,0.25,0.6055360493974971,0.19018353913824051,0.43558637734906946
full_random,0.5,0.5949718803927024,0.18795002426728927,0.4340505705215612
full_random,0.75,0.5818128083593603,0.18115944838236264,0.4318747177975671
full_random,1,0.5826799876559317,0.1811758394772101,0.43193581003824727
