variant,alpha,Mean_IoU,Grounding_Accuracy,parse_failures
lora,0,0.22082647681236267,0.1976023150062009,7
lora,0.25,0.2206171303987503,0.20049607275733775,6
lora,0.5,0.2201412171125412,0.1976023150062009,7
lora,0.75,0.21818524599075317,0.19553534518396032,7
lora,1,0.216319739818573,0.1951219512195122,7
full_real,0,0.22082647681236267,0.1976023150062009,7
full_real,0.25,0.2206224799156189,0.19842910293509713,6
full_real,0.5,0.22043657302856445,0.19718892104175278,4
full_real,0.75,0.219964399933815,0.19470855725506409,5
full_real,1,0.2179408222436905,0.19801570897064902,4
full_random,0,0.22082647681236267,0.1976023150062009,7
full_random,0.25,0.22080804407596588,0.1992558908639934,6
full_random,0.5,0.2200390249490738,0.19636213311285655,7
full_random,0.75,0.21931037306785583,0.19718892104175278,7
full_random,1,0.21735110878944397,0.19429516329061597,7
