fold,train_count,heldout_count,roi,clip_layer,mean_oof_cosine_quality,mean_oof_cost,std_oof_cost_ddof1
0,4108,1027,V1,L4,0.8305108994245529,0.16948910057544708,0.06987659633159637
0,4108,1027,V1,L8,0.7471314668655396,0.25286853313446045,0.08081238716840744
0,4108,1027,V1,L12,0.7676402926445007,0.23235970735549927,0.06332169473171234
0,4108,1027,V1,L16,0.8161661028862,0.18383389711380005,0.05581901967525482
0,4108,1027,V1,L20,0.7884105443954468,0.21158945560455322,0.05721697583794594
0,4108,1027,V1,L24,0.8925487846136093,0.10745121538639069,0.02462013252079487
0,4108,1027,V2,L4,0.833534836769104,0.166465163230896,0.0668109804391861
0,4108,1027,V2,L8,0.7528848052024841,0.24711519479751587,0.07645883411169052
0,4108,1027,V2,L12,0.7721127569675446,0.22788724303245544,0.059682101011276245
0,4108,1027,V2,L16,0.8183576762676239,0.1816423237323761,0.053207769989967346
0,4108,1027,V2,L20,0.7902811020612717,0.20971889793872833,0.054624225944280624
0,4108,1027,V2,L24,0.8930520564317703,0.10694794356822968,0.02428942173719406
0,4108,1027,V3,L4,0.8382211178541183,0.16177888214588165,0.06506642699241638
0,4108,1027,V3,L8,0.7638187855482101,0.23618121445178986,0.07452704012393951
0,4108,1027,V3,L12,0.786329910159111,0.21367008984088898,0.056343283504247665
0,4108,1027,V3,L16,0.8278385698795319,0.17216143012046814,0.05018028989434242
0,4108,1027,V3,L20,0.7974067479372025,0.20259325206279755,0.052630454301834106
0,4108,1027,V3,L24,0.8965124115347862,0.10348758846521378,0.023409811779856682
0,4108,1027,hV4,L4,0.8383819907903671,0.16161800920963287,0.06469159573316574
0,4108,1027,hV4,L8,0.764043316245079,0.23595668375492096,0.07181701064109802
0,4108,1027,hV4,L12,0.7864955216646194,0.21350447833538055,0.054934050887823105
0,4108,1027,hV4,L16,0.8291085511445999,0.17089144885540009,0.04866351559758186
0,4108,1027,hV4,L20,0.7999296933412552,0.2000703066587448,0.051231175661087036
0,4108,1027,hV4,L24,0.8984187692403793,0.10158123075962067,0.022649545222520828
0,4108,1027,FFA,L4,0.8279972076416016,0.17200279235839844,0.07176045328378677
0,4108,1027,FFA,L8,0.755593866109848,0.24440613389015198,0.07652973383665085
0,4108,1027,FFA,L12,0.7882701754570007,0.21172982454299927,0.055554427206516266
0,4108,1027,FFA,L16,0.8347098380327225,0.16529016196727753,0.04780368134379387
0,4108,1027,FFA,L20,0.806728258728981,0.19327174127101898,0.04851064831018448
0,4108,1027,FFA,L24,0.901747927069664,0.098252072930336,0.02244791015982628
0,4108,1027,EBA,L4,0.8231517374515533,0.17684826254844666,0.07676885277032852
0,4108,1027,EBA,L8,0.7552540898323059,0.2447459101676941,0.08120015263557434
0,4108,1027,EBA,L12,0.7925371676683426,0.2074628323316574,0.05628375709056854
0,4108,1027,EBA,L16,0.8407701849937439,0.1592298150062561,0.0475907064974308
0,4108,1027,EBA,L20,0.8119298070669174,0.18807019293308258,0.04898981377482414
0,4108,1027,EBA,L24,0.9044600278139114,0.09553997218608856,0.02154991589486599
0,4108,1027,PPA,L4,0.8276483118534088,0.1723516881465912,0.0739695280790329
0,4108,1027,PPA,L8,0.7592074126005173,0.24079258739948273,0.07873626798391342
