subject,method,V1,V2,V3,hV4,FFA,EBA,PPA,OPA
subj01,soft,17.47162497161667,17.228094800523927,17.447706171481627,17.561735654233075,17.379105459319433,17.365042630183524,17.532225624688436,17.390229877201364
subj01,uniform,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998
subj01,single_L24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
subj02,soft,17.602176172772147,17.31778575259341,17.545949582245537,17.75038365453959,17.626956169029263,17.536705605703695,17.6865472580193,17.52541975297286
subj02,uniform,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998
subj02,single_L24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
subj05,soft,17.260151179577058,16.99108002957161,17.173957783060118,17.339817829978003,17.280275667711898,17.04652972019377,17.27317169079172,17.29559886411922
subj05,uniform,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998
subj05,single_L24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
subj07,soft,17.843275980551297,17.59572617044369,17.89884910612292,18.0399624622731,17.941085883785973,17.807224766850783,17.925693199146444,17.913182739972882
subj07,uniform,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998,13.999999999999998
subj07,single_L24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
