name,router_type,best_val_loss,final_val_loss,routing_entropy,max_weight_mean,near_uniform,collapsed_to_single_layer
soft,soft,0.11342542540085943,0.11342542540085943,1.626846099194048,0.3711707595929388,False,False
soft_balance005,soft,0.12101647924435766,0.12101647924435766,1.7127024813676173,0.3027314875712976,False,False
uniform,uniform,0.1402529536893493,0.1402529536893493,1.7917594692280547,0.16666666666666666,True,False
random,random,0.15094977774118123,0.15094977774118123,1.6761619543074362,0.2674137878047355,False,False
hard,hard,0.1619000521145369,0.1619000521145369,0.6931471805599453,0.625,False,False
single_L4,single,0.18952342946278422,0.18952342946278422,0.0,1.0,False,True
single_L8,single,0.26466271908659683,0.26466271908659683,0.0,1.0,False,True
single_L12,single,0.24151430475084404,0.24151430475084404,0.0,1.0,False,True
single_L16,single,0.18770409414642736,0.18770409414642736,0.0,1.0,False,True
single_L20,single,0.2140739105249706,0.2140739105249706,0.0,1.0,False,True
single_L24,single,0.1476976110746986,0.1476976110746986,0.0,1.0,False,True
