subject,method,protocol,unique_ids,average_positives_per_query,R@1,R@5,R@10,median_rank,mean_rank
subj01,soft,multi_positive_coco73k,300,1.0,0.01,0.03333333333333333,0.05333333333333334,120.5,127.53
subj01,uniform,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.03,0.05333333333333334,124.5,132.78666666666666
subj01,single_L24,multi_positive_coco73k,300,1.0,0.006666666666666667,0.04,0.06,108.0,119.46
subj01,soft_contrastive_w005,multi_positive_coco73k,300,1.0,0.01,0.05,0.08,96.5,112.68333333333334
subj02,soft,multi_positive_coco73k,300,1.0,0.01,0.02666666666666667,0.05333333333333334,122.0,130.9
subj02,uniform,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.03,0.043333333333333335,127.5,135.36333333333334
subj02,single_L24,multi_positive_coco73k,300,1.0,0.023333333333333334,0.05,0.07666666666666666,118.5,124.16
subj02,soft_contrastive_w005,multi_positive_coco73k,300,1.0,0.006666666666666667,0.043333333333333335,0.08,104.5,117.63
subj05,soft,multi_positive_coco73k,300,1.0,0.013333333333333334,0.04666666666666667,0.07,107.5,121.4
subj05,uniform,multi_positive_coco73k,300,1.0,0.006666666666666667,0.03,0.05333333333333334,111.5,126.26
subj05,single_L24,multi_positive_coco73k,300,1.0,0.02,0.06666666666666667,0.11333333333333333,95.0,113.95
subj05,soft_contrastive_w005,multi_positive_coco73k,300,1.0,0.02,0.07,0.15,65.5,95.46
subj07,soft,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.02,0.05333333333333334,133.5,137.86666666666667
subj07,uniform,multi_positive_coco73k,300,1.0,0.0033333333333333335,0.02,0.05333333333333334,134.0,137.72
subj07,single_L24,multi_positive_coco73k,300,1.0,0.006666666666666667,0.03,0.05333333333333334,117.5,129.37
subj07,soft_contrastive_w005,multi_positive_coco73k,300,1.0,0.006666666666666667,0.03,0.08666666666666667,112.0,122.56333333333333
