method,direction,recall_at_1,recall_at_5,recall_at_10,median_rank,mean_rank
soft_old,brain_to_image,0.01,0.03333333333333333,0.05333333333333334,120.5,127.53
soft_old,image_to_brain,0.03,0.11,0.22333333333333333,32.0,50.28666666666667
uniform_old,brain_to_image,0.0033333333333333335,0.03,0.05333333333333334,124.5,132.78666666666666
uniform_old,image_to_brain,0.016666666666666666,0.08,0.12333333333333334,55.0,73.90333333333334
single_L24_old,brain_to_image,0.006666666666666667,0.04,0.06,108.0,119.46
single_L24_old,image_to_brain,0.056666666666666664,0.18666666666666668,0.3233333333333333,22.5,36.723333333333336
soft_con_w001,brain_to_image,0.01,0.03666666666666667,0.06666666666666667,112.0,122.36
soft_con_w001,image_to_brain,0.03333333333333333,0.11666666666666667,0.2633333333333333,27.0,45.03333333333333
soft_con_w003,brain_to_image,0.01,0.05,0.07333333333333333,98.5,115.13666666666667
soft_con_w003,image_to_brain,0.056666666666666664,0.19333333333333333,0.3233333333333333,22.0,36.72
soft_con_w005,brain_to_image,0.01,0.05,0.08,96.5,112.68333333333334
soft_con_w005,image_to_brain,0.06,0.19666666666666666,0.3466666666666667,21.5,36.94
